Date,Spinach Price,Volume
19/08/2020,2.38,35
18/08/2020,2.63,95
17/08/2020,2.75,40
15/08/2020,2.38,70
14/08/2020,2.25,61
13/08/2020,2.25,55
12/8/2020,2.38,46
11/8/2020,2.38,58
10/8/2020,2.25,39
9/8/2020,2.38,41
8/8/2020,2.38,59
7/8/2020,2.63,43
6/8/2020,2.38,32
5/8/2020,1.88,23
4/8/2020,1.83,66
3/8/2020,1.63,56
2/8/2020,1.63,60
1/8/2020,1.63,61
31/07/2020,1.75,38
30/07/2020,1.75,57
29/07/2020,1.63,39
28/07/2020,1.83,63
27/07/2020,1.83,31
26/07/2020,1.75,35
25/07/2020,1.75,59
24/07/2020,1.63,63
23/07/2020,1.63,52
22/07/2020,1.75,40
21/07/2020,1.88,76
20/07/2020,1.88,57
19/07/2020,2.28,58
18/07/2020,2.28,89
17/07/2020,2.28,62
16/07/2020,2.13,53
15/07/2020,2.25,28
14/07/2020,2.38,110
13/07/2020,2.63,41
12/7/2020,2.75,60
11/7/2020,2.75,76
10/7/2020,2.75,58
9/7/2020,2.7,52
8/7/2020,2.63,58
7/7/2020,2.38,92
6/7/2020,2.25,48
5/7/2020,1.83,14
4/7/2020,1.83,40
3/7/2020,2.18,71
2/7/2020,2.38,75
1/7/2020,2.25,61
30/06/2020,2.25,91
29/06/2020,2.3,59
27/06/2020,1.7,43
26/06/2020,1.83,89
25/06/2020,2.18,45
24/06/2020,2.38,59
23/06/2020,2.63,68
22/06/2020,2.88,52
21/06/2020,3.25,2
20/06/2020,3.25,47
19/06/2020,2.75,70
18/06/2020,2.33,48
17/06/2020,2.7,80
16/06/2020,2.7,109
15/06/2020,2.63,45
13/06/2020,2.75,60
12/6/2020,2.63,113
11/6/2020,2.25,68
10/6/2020,1.88,67
9/6/2020,1.83,75
8/6/2020,2.13,90
6/6/2020,1.33,35
5/6/2020,1.53,68
4/6/2020,1.38,84
3/6/2020,1.33,70
2/6/2020,1.7,83
1/6/2020,1.73,78
30/05/2020,1.73,53
29/05/2020,1.73,109
28/05/2020,1.73,89
27/05/2020,1.73,125
26/05/2020,1.75,129
25/05/2020,1.88,139
24/05/2020,1.75,1
23/05/2020,1.75,105
22/05/2020,1.5,97
21/05/2020,1.63,147
20/05/2020,1.75,92
19/05/2020,1.75,104
18/05/2020,2.38,104
17/05/2020,2.38,2
16/05/2020,2.38,60
15/05/2020,2.63,122
14/05/2020,2.75,131
13/05/2020,2.75,80
12/5/2020,2.25,93
11/5/2020,2.5,97
9/5/2020,2.5,63
8/5/2020,2.38,149
7/5/2020,2.38,112
6/5/2020,2.75,75
5/5/2020,2.88,136
4/5/2020,2.5,98
2/5/2020,2.75,87
1/5/2020,3.25,59
30/04/2020,2.63,129
29/04/2020,3.13,102
28/04/2020,2.88,89
27/04/2020,2.38,42
25/04/2020,2.5,64
24/04/2020,2.63,78
23/04/2020,2.75,79
22/04/2020,3.38,61
21/04/2020,3.25,93
20/04/2020,2.38,50
19/04/2020,2.5,1
18/04/2020,2.5,75
17/04/2020,2.63,100
16/04/2020,2.88,64
15/04/2020,2.63,92
14/04/2020,2.75,143
13/04/2020,3,84
11/4/2020,3.25,165
8/4/2020,3.5,133
7/4/2020,2.25,84
6/4/2020,2.25,24
4/4/2020,2.38,187
3/4/2020,2.38,89
2/4/2020,2.5,78
1/4/2020,2.75,60
31/03/2020,3.13,109
30/03/2020,3.63,29
29/03/2020,3.75,75
28/03/2020,3.75,160
27/03/2020,4.25,67
26/03/2020,4.38,101
25/03/2020,3.38,51
24/03/2020,3.5,85
23/03/2020,3.75,39
22/03/2020,3.75,74
21/03/2020,4.25,52
20/03/2020,4.5,47
19/03/2020,5.5,41
18/03/2020,5.75,64
17/03/2020,6.75,70
16/03/2020,6.5,26
15/03/2020,6,78
14/03/2020,5.5,86
13/03/2020,5.25,76
12/3/2020,5.25,24
11/3/2020,6.25,75
10/3/2020,7.25,59
9/3/2020,5.5,43
8/3/2020,6,74
7/3/2020,6.5,43
6/3/2020,6.25,79
5/3/2020,5.5,29
4/3/2020,6.63,62
3/3/2020,4.5,102
2/3/2020,3.33,29
1/3/2020,3.25,65
29/02/2020,3.25,72
28/02/2020,3.3,59
27/02/2020,2.83,35
26/02/2020,2.88,60
25/02/2020,3.25,92
24/02/2020,3.75,33
23/02/2020,3.5,83
22/02/2020,3.25,126
21/02/2020,2.88,90
20/02/2020,2.75,82
19/02/2020,2.25,78
18/02/2020,2.38,86
17/02/2020,2.63,40
16/02/2020,2.44,78
15/02/2020,2.25,73
14/02/2020,2.25,101
13/02/2020,2.13,107
12/2/2020,2.25,71
11/2/2020,2.38,78
10/2/2020,2.13,44
9/2/2020,2.19,82
8/2/2020,2.25,79
7/2/2020,2.38,125
6/2/2020,2.25,44
5/2/2020,2.38,61
4/2/2020,2.63,64
3/2/2020,2.75,36
2/2/2020,2.75,101
1/2/2020,2.75,80
31/01/2020,2.63,88
30/01/2020,2.75,45
29/01/2020,2.75,48
28/01/2020,2.38,78
27/01/2020,2.75,55
26/01/2020,2.75,93
25/01/2020,2.75,108
24/01/2020,2.88,78
23/01/2020,3.13,68
22/01/2020,3.38,64
21/01/2020,4.38,88
20/01/2020,3.83,33
19/01/2020,3.75,57
18/01/2020,4.5,105
17/01/2020,5.25,47
16/01/2020,3.38,57
15/01/2020,2.63,75
14/01/2020,2.75,68
13/01/2020,2.75,45
12/1/2020,2.31,72
11/1/2020,1.88,88
10/1/2020,2.13,68
9/1/2020,2.25,73
8/1/2020,2.25,62
7/1/2020,2.75,90
6/1/2020,2.75,31
5/1/2020,2,91
4/1/2020,1.25,122
3/1/2020,1.38,75
2/1/2020,1.2,53
31/12/2019,1.25,88
30/12/2019,1.38,75
29/12/2019,1.38,88
28/12/2019,1.38,101
27/12/2019,1.25,89
26/12/2019,1.63,39
24/12/2019,1.75,85
23/12/2019,1.25,51
22/12/2019,1.29,68
21/12/2019,1.33,111
20/12/2019,1.38,64
19/12/2019,1.25,67
18/12/2019,1.25,57
17/12/2019,1.63,110
16/12/2019,1.25,25
15/12/2019,1.44,68
14/12/2019,1.63,76
13/12/2019,1.75,40
12/12/2019,1.63,66
11/12/2019,1.25,42
10/12/2019,2.38,66
9/12/2019,2.25,16
8/12/2019,1.75,81
7/12/2019,1.25,72
6/12/2019,1.25,66
5/12/2019,1.63,70
4/12/2019,1.63,69
3/12/2019,2.13,71
2/12/2019,2.25,25
1/12/2019,2.25,69
30/11/2019,2.25,69
29/11/2019,2.75,67
28/11/2019,2.25,13
27/11/2019,1.75,63
26/11/2019,1.75,56
25/11/2019,2.25,34
24/11/2019,1.69,67
23/11/2019,1.13,63
22/11/2019,1.2,43
21/11/2019,1.25,59
20/11/2019,1.25,57
19/11/2019,1.75,78
18/11/2019,1.33,21
17/11/2019,1.26,69
16/11/2019,1.2,76
15/11/2019,1,70
14/11/2019,1.03,65
13/11/2019,1.25,63
12/11/2019,1.18,69
11/11/2019,0.88,26
10/11/2019,1.04,64
9/11/2019,1.2,64
8/11/2019,1.13,64
7/11/2019,1.25,35
6/11/2019,1.25,50
5/11/2019,1.7,65
4/11/2019,1.75,16
3/11/2019,1.48,55
2/11/2019,1.2,15
1/11/2019,1.38,40
31/10/2019,1.25,60
30/10/2019,1.25,35
29/10/2019,1.63,71
28/10/2019,1.7,28
27/10/2019,1.83,53
26/10/2019,1.75,56
25/10/2019,1.75,44
24/10/2019,1.63,56
23/10/2019,1.75,48
22/10/2019,1.75,72
21/10/2019,2.25,28
20/10/2019,1.71,46
19/10/2019,1.18,51
18/10/2019,1.3,38
17/10/2019,1.38,60
16/10/2019,1.25,44
15/10/2019,1.25,48
14/10/2019,1.33,13
13/10/2019,1.26,47
12/10/2019,1.2,61
11/10/2019,1.13,47
10/10/2019,1.13,57
9/10/2019,1.2,58
8/10/2019,1.33,66
7/10/2019,1.13,34
6/10/2019,1.25,60
5/10/2019,1.38,61
4/10/2019,1.38,64
3/10/2019,1.33,65
2/10/2019,1.13,42
1/10/2019,1.25,50
30/09/2019,1.25,20
29/09/2019,1.19,42
28/09/2019,1.13,50
27/09/2019,1.18,57
26/09/2019,1.2,43
25/09/2019,1.33,57
24/09/2019,1.33,24
23/09/2019,1.2,19
22/09/2019,1.26,52
21/09/2019,1.33,62
20/09/2019,1.13,58
19/09/2019,1.25,55
18/09/2019,1.13,51
17/09/2019,1.25,83
16/09/2019,1.25,16
15/09/2019,1.35,61
14/09/2019,1.25,57
13/09/2019,1.2,45
12/9/2019,1.2,54
11/9/2019,1.25,59
10/9/2019,1.25,63
9/9/2019,1.75,27
8/9/2019,2.06,64
7/9/2019,2.38,57
6/9/2019,2.25,67
5/9/2019,2.25,41
4/9/2019,2.63,54
3/9/2019,2.63,71
2/9/2019,2.18,18
1/9/2019,2,69
31/08/2019,1.83,24
30/08/2019,1.63,81
29/08/2019,1.75,66
28/08/2019,1.75,63
27/08/2019,1.83,67
26/08/2019,1.7,23
25/08/2019,1.76,71
24/08/2019,1.83,49
23/08/2019,1.83,68
22/08/2019,2.18,43
21/08/2019,2.38,65
20/08/2019,2.63,31
19/08/2019,2.3,17
18/08/2019,2.28,69
17/08/2019,2.25,60
16/08/2019,2.13,65
15/08/2019,1.18,33
14/08/2019,1.28,51
13/08/2019,1.18,56
12/8/2019,1.13,13
11/8/2019,1.19,77
10/8/2019,1.25,76
9/8/2019,1.13,55
8/8/2019,1.28,38
7/8/2019,1.2,67
6/8/2019,1.2,61
5/8/2019,1.25,17
4/8/2019,1.19,85
3/8/2019,1.13,71
2/8/2019,1.13,70
1/8/2019,1.25,63
31/07/2019,1.25,52
30/07/2019,1.38,67
29/07/2019,1.63,27
28/07/2019,1.75,47
27/07/2019,1.88,56
26/07/2019,1.75,50
25/07/2019,1.33,71
24/07/2019,1.38,65
23/07/2019,1.7,89
22/07/2019,1.63,17
21/07/2019,1.63,94
20/07/2019,1.63,45
19/07/2019,1.75,44
18/07/2019,1.75,67
17/07/2019,1.63,51
16/07/2019,1.75,75
15/07/2019,1.75,27
14/07/2019,1.79,83
13/07/2019,1.83,61
12/7/2019,1.7,63
11/7/2019,1.75,48
10/7/2019,1.75,58
9/7/2019,1.38,101
8/7/2019,1.25,20
7/7/2019,1.81,63
6/7/2019,2.38,33
5/7/2019,2.25,98
4/7/2019,2.25,70
3/7/2019,2.38,87
2/7/2019,2.25,78
1/7/2019,2.75,26
30/06/2019,3,73
29/06/2019,3.25,61
28/06/2019,3.13,79
27/06/2019,3.25,47
26/06/2019,2.38,71
25/06/2019,2.88,65
24/06/2019,2.63,25
23/06/2019,2.88,97
